"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC"
"Hoosier Pass","531	","Colorado","SNOTEL","Summit","11400","39.36127","-106.05978","140100020101	"
"Hopewell","532	","New Mexico","SNOTEL","Rio Arriba","10000","36.71631","-106.26348","130201021401	"
"Horse Meadow","1050	","California","SNOTEL","Alpine","8557","38.83652","-119.88732","160502010302	"
"Horse Ridge","533	","Utah","SNOTEL","Morgan","8199","41.31372","-111.44624","160201010601	"
"Hourglass Lake","1122	","Colorado","SNOTEL","Larimer","9380","40.57913","-105.63068","101900070101	"
"Howard Prairie","1158	","Oregon","SNOTEL","Jackson","4580","42.215","-122.3713","180102060401	"
"Howell Canyon","534	","Idaho","SNOTEL","Cassia","7980","42.32029","-113.61587","170402090602	"
"Hozatka Lake","2210	","Alaska","SCAN","Yukon-Koyukuk","206","65.198","-156.635","190901091201	"
"Hozomeen Camp","991	","Washington","SNOTEL","Whatcom","1690","48.98075","-121.07976","171100050602	"
"Hubbard Brook","2069	","New Hampshire","SCAN","Grafton","1480","43.93333","-71.71667","010700010205	"
"Huckleberry Creek","928	","Washington","SNOTEL","Pierce","2250","47.06565","-121.58778","171100140307	"
"Humboldt Gulch","535	","Idaho","SNOTEL","Shoshone","4250","47.53178","-115.77643","170103020102	"
"Huntington Horse","1216	","Utah","SNOTEL","Sanpete","9652","39.61774","-111.30576","140600070201	"
"Hyndman","537	","Idaho","SNOTEL","Blaine","7620","43.71077","-114.15894","170402190402	"
"Idarado","538	","Colorado","SNOTEL","Ouray","9800","37.9339","-107.67552","140200060201	"
"Imnaviat Creek","968	","Alaska","SNOTEL","North Slope","3050","68.61683","-149.30017","190604010702	"
"Independence Camp","539	","California","SNOTEL","Sierra","6980","39.45269","-120.29367","160501020102	"
"Independence Creek","540	","California","SNOTEL","Sierra","6436","39.49001","-120.28226","160501020102	"
"Independence Lake","541	","California","SNOTEL","Nevada","8338","39.42752","-120.31342","160501020104	"
"Independence Mine","1091	","Alaska","SNOTEL","Matanuska-Susitna","3550","61.79117","-149.27967","190205051202	"
"Independence Pass","542	","Colorado","SNOTEL","Pitkin","10600","39.07539","-106.61169","140100040101	"
"Indian Canyon","543	","Utah","SNOTEL","Duchesne","9171","39.89166","-110.74604","140600040701	"
"Indian Creek","544	","Wyoming","SNOTEL","Lincoln","9425","42.30023","-110.67753","140401070502	"
"Indian Pass","946	","Alaska","SNOTEL","Anchorage","2350","61.06767","-149.4795","190203020701	"
"Indian Rock","1129	","Washington","SNOTEL","Klickitat","5360","45.99077","-120.80767","170701060301	"
"Innoko Camp","2211	","Alaska","SCAN","Yukon-Koyukuk","83","63.639","-158.0301","190903031103	"
"Irish Taylor","545	","Oregon","SNOTEL","Deschutes","5540","43.80368","-121.94793","170703010106	"
"Iron Mine Creek","1276	","Idaho","SNOTEL","Blaine","6340","43.55614","-113.71826","170402210401	"
"Isabela","2052	","Puerto Rico","SCAN","Isabela","50","18.47022","-67.04372","210100020507	"
"Isbell Farms","2173	","Alabama","SCAN","Colbert","603","34.81982","-87.98685","060300051002	"
"Island Dairy","2100	","Hawaii","SCAN","Hawaii","1160","19.99802","-155.28585","200100000206	"
"Island Park","546	","Idaho","SNOTEL","Fremont","6290","44.4203","-111.38512","170402020601	"
"Ivanhoe","547	","Colorado","SNOTEL","Pitkin","10400","39.29202","-106.54923","140100040501	"
"Jack Creek Upper","548	","Nevada","SNOTEL","Elko","7377","41.54675","-116.00517","170501050201	"
"Jack Wade Jct","1275	","Alaska","SNOTEL","Southeast Fairbanks","3585","64.1529","-141.32693","190705022204	"
"Jacks Peak","549	","Nevada","SNOTEL","Elko","8424","41.5136","-116.0117","170501050201	"
"Jackson Peak","550	","Idaho","SNOTEL","Boise","7070","44.05092","-115.44322","170501200304	"
"Jackwhacker Gulch","935	","Colorado","SNOTEL","Clear Creek","10960","39.56667","-105.8","101900020201	"
"Jakes Creek","1211	","Nevada","SNOTEL","Elko","7374","41.56861","-115.03237","170402130308	"
"Joe Wright","551	","Colorado","SNOTEL","Larimer","10120","40.53215","-105.887","101900070204	"
"Johnson Farm","2111	","Nebraska","SCAN","Chase","3341","40.37042","-101.7201","102500040102	"
"Johnsons Camp","1036	","Alaska","SNOTEL","Nome","25","64.5646","-164.29257","190501042003	"
"Jones Corral","1099	","Utah","SNOTEL","Garfield","9749","38.07125","-112.16788","160300020507	"
"Jones Pass","970	","Colorado","SNOTEL","Grand","10400","39.7645","-105.90623","140100010402	"
"Jordan","2121	","Montana","SCAN","Garfield","2820","47.522","-107.12731","100401041801	"
"Jordan Valley Cwma","2148	","Idaho","SCAN","Owyhee","4508","42.94863","-117.0106","170501080405	"
"Jornada Exp Range","2168	","New Mexico","SCAN","Dona Ana","4360","32.5566","-106.69997","130301030502	"
"Journagan Ranch","2194	","Missouri","SCAN","Douglas","1106","36.9973","-92.2594","110100060102	"
"Jump Off Joe","552	","Oregon","SNOTEL","Linn","3520","44.38605","-122.16683","170900060201	"
"June Lake","553	","Washington","SNOTEL","Skamania","3440","46.14778","-122.15413","170800020304	"
"Kachemak Creek","1063	","Alaska","SNOTEL","Kenai Peninsula","1660","59.72893","-150.66113","190203011101	"
"Kainaliu","2096	","Hawaii","SCAN","Hawaii","1364","19.53322","-155.92914","200100001102	"
"Kalamazoo","1150	","Nevada","SNOTEL","White Pine","7775","39.5579","-114.62762","160600080700	"
"Kanaryagak Camp","2208	","Alaska","SCAN","Kusilvak","13","61.3588","-165.12042","190903053903	"
"Kantishna","1072	","Alaska","SNOTEL","Denali","1550","63.54167","-150.994","190803101805	"
"Kanuti Lake","2212	","Alaska","SCAN","Yukon-Koyukuk","524","66.177","-151.742","190901040707	"
"Kelley R.S.","554	","Wyoming","SNOTEL","Lincoln","8180","42.26554","-110.80177","140401070501	"
"Kelly Station","1175	","Alaska","SNOTEL","Northwest Arctic","310","67.93333","-162.28333","190504030802	"
"Kemole Gulch","2103	","Hawaii","SCAN","Hawaii","4163","19.91475","-155.59102","200100001403	"
"Kenai Moose Pens","966	","Alaska","SNOTEL","Kenai Peninsula","300","60.727","-150.47517","190203021601	"
"Kendall R.S.","555	","Wyoming","SNOTEL","Sublette","7740","43.2493","-110.01662","140401010302	"
"Kilfoil Creek","1145	","Utah","SNOTEL","Morgan","7220","41.24764","-111.41249","160201010603	"
"Kiln","556	","Colorado","SNOTEL","Pitkin","9600","39.31724","-106.61453","140100040504	"
"Kimberly Mine","557	","Utah","SNOTEL","Piute","9101","38.48383","-112.39273","160300030104	"
"King Mountain","558	","Oregon","SNOTEL","Jackson","4340","42.72395","-123.20037","171003020701	"
"Kings Cabin","559	","Utah","SNOTEL","Uintah","8728","40.71632","-109.54401","140600100303	"
"Kingsville","2206	","Texas","SCAN","Kleberg","67","27.54945","-97.88223","121102040409	"
"Kirwin","560	","Wyoming","SNOTEL","Park","9550","43.86067","-109.32163","100800090101	"
"Klondike Narrows","1115	","Utah","SNOTEL","Cache","7250","41.96769","-111.59713","160102030302	"
"Knox City","2201	","Texas","SCAN","Knox","1448","33.44635","-99.86657","120601010206	"
"Kolob","561	","Utah","SNOTEL","Iron","9263","37.52664","-113.05386","150100080102	"
"Koptis Farms","2180	","Alabama","SCAN","Baldwin","135","30.5238","-87.69797","031602050202	"
"Kraft Creek","562	","Montana","SNOTEL","Missoula","4750","47.42749","-113.77515","170102110104	"
"Ku-Nesa","2147	","Kansas","SCAN","Jefferson","1102","39.05141","-95.19128","102701040502	"
"Kukuihaele","2097	","Hawaii","SCAN","Hawaii","947","20.0955","-155.50864","200100000203	"
"Kyle Canyon","2141	","Nevada","SCAN","Clark","7046","36.26527","-115.60852","150100150301	"
"Lake Creek R.S.","563	","Oregon","SNOTEL","Grant","5240","44.21007","-118.63752","170501160102	"
"Lake Eldora","564	","Colorado","SNOTEL","Gilpin","9700","39.93678","-105.58956","101900050402	"
"Lake Irene","565	","Colorado","SNOTEL","Grand","10700","40.41432","-105.8198","140100010302	"
"Lakefork #1","566	","Utah","SNOTEL","Duchesne","10128","40.59709","-110.43316","140600030705	"
"Lakefork #3","1116	","Utah","SNOTEL","Duchesne","8464","40.5502","-110.3529","140600030705	"
"Lakefork Basin","513	","Utah","SNOTEL","Duchesne","10885","40.73785","-110.62121","140600030601	"
"Lakeview Ridge","568	","Montana","SNOTEL","Beaverhead","7400","44.58907","-111.82498","100200010105	"
"Lamance Creek","569	","Nevada","SNOTEL","Humboldt","6395","41.51542","-117.63197","160401090603	"
"Lamoille #3","570	","Nevada","SNOTEL","Elko","8051","40.6448","-115.3812","160401010607	"
"Laprele Creek","571	","Wyoming","SNOTEL","Converse","8375","42.43583","-105.86083","101800071201	"
"Larsen Creek","1134	","Wyoming","SNOTEL","Sublette","9000","42.5801","-109.0883","101800060101	"
"Lasal Mountain","572	","Utah","SNOTEL","Grand","9578","38.48226","-109.27198","140300050404	"
"Lasal Mountain-Lower","1215	","Utah","SNOTEL","San Juan","8783","38.48167","-109.29164","140300050404	"
"Laurel Draw","573	","Nevada","SNOTEL","Elko","6682","41.77637","-116.02957","170501040202	"
"Leavitt Lake","574	","California","SNOTEL","Mono","9604","38.27594","-119.61281","160503020104	"
"Leavitt Meadows","575	","California","SNOTEL","Mono","7198","38.30367","-119.55111","160503020104	"
"Lee Canyon","1112	","Nevada","SNOTEL","Clark","8626","36.30537","-115.67508","150100150206	"
"Lehman","2106	","Texas","SCAN","Cochran","3767","33.62647","-102.7453","120800010301	"
"Lemhi Ridge","576	","Montana","SNOTEL","Beaverhead","8100","44.9938","-113.44399","100200011106	"
"Levelland","2105	","Texas","SCAN","Hockley","3510","33.55125","-102.37392","120500040203	"
"Lewis Lake Divide","577	","Wyoming","SNOTEL","Teton","7850","44.20862","-110.66628","170401010104	"
"Lewis Peak","1006	","Nevada","SNOTEL","Lander","7400","40.35757","-116.86492","160401070903	"
"Lick Creek","578	","Montana","SNOTEL","Gallatin","6860","45.5041","-110.96625","100200081001	"
"Lightning Ridge","1056	","Utah","SNOTEL","Weber","8215","41.35883","-111.48747","160201020201	"
