"peiid","featkind","featdept","featdepb"
"978610","paralithic contact",90,115
"1137354","ochric epipedon",0,18
"1137354","argillic horizon",18,60
"1137354","lithic contact",60,NA
"1147151",NA,NA,NA
"1147151","ochric epipedon",0,10
"1147151","argillic horizon",10,41
"1147151","lithic contact",63,NA
"1147190","ochric epipedon",0,20
"1147190","argillic horizon",20,46
"1147190","lithic contact",58,NA
