"phiid","peiid","pedon_id","hzname","dspcomplayerid","hzdept","hzdepb","bounddistinct","boundtopo","claytotest","silttotest","sandtotest","clay","silt","sand","fragvoltot","texture","texcl","lieutex","phfield","effclass","labsampnum","rupresblkdry","rupresblkmst","rupresblkcem","stickiness","plasticity","ksatpedon","texture_class","hzID","d_hue","d_value","d_chroma","dry_soil_color","d_r","d_g","d_b","d_sigma","m_hue","m_value","m_chroma","moist_soil_color","m_r","m_g","m_b","m_sigma","soil_color","fine_gravel","gravel","cobbles","stones","boulders","channers","flagstones","parafine_gravel","paragravel","paracobbles","parastones","paraboulders","parachanners","paraflagstones","unspecified","total_frags_pct_nopf","total_frags_pct","art_fgr","art_gr","art_cb","art_st","art_by","art_ch","art_fl","art_unspecified","total_art_pct","huartvol_cohesive","huartvol_penetrable","huartvol_innocuous","huartvol_persistent"
"2888850","625813","11CKS020","2Bt2",NA,44,75,"clear","wavy",26,NA,36,26,38,36,70,"PCBX-SIL","sil",NA,5.40000009536743,"none",NA,"slightly hard","friable",NA,"slightly sticky","moderately plastic",NA,"sil","11317",NA,NA,NA,NA,NA,NA,NA,NA,"7.5YR",5,4,"#977354FF",0.592156862745098,0.450980392156863,0.329411764705882,NA,"#977354FF",0,0,0,0,0,0,0,0,30,40,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
"2888851","625813","11CKS020","2CBt",NA,75,91,"clear","wavy",28,NA,42,28,30,42,80,"PCBX-CL","cl",NA,5.30000019073486,"none",NA,"soft","very friable",NA,"moderately sticky","moderately plastic",NA,"cl","11318",NA,NA,NA,NA,NA,NA,NA,NA,"7.5YR",5,4,"#977354FF",0.592156862745098,0.450980392156863,0.329411764705882,NA,"#977354FF",0,0,0,0,0,0,0,0,40,40,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
"2888852","625813","11CKS020","2Cr",NA,91,101,NA,NA,NA,NA,NA,NA,NA,NA,0,"BR",NA,"br",NA,NA,NA,NA,NA,NA,NA,NA,NA,"br","11319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2888859","625815","11CKS022","Oi","Oi",0,6,"clear","smooth",NA,NA,NA,NA,NA,NA,0,"SPM",NA,"spm",NA,NA,NA,NA,NA,NA,NA,NA,NA,"spm","11326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2888860","625815","11CKS022","A","A",6,15,"clear","smooth",19,NA,35,19,46,35,3,"L","l",NA,5.90000009536743,"none",NA,"slightly hard","friable",NA,"moderately sticky","nonplastic",NA,"l","11327",NA,NA,NA,NA,NA,NA,NA,NA,"7.5YR",4,3,"#775B44FF",0.466666666666667,0.356862745098039,0.266666666666667,NA,"#775B44FF",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"2888861","625815","11CKS022","Bt1","Bt1",15,32,"clear","wavy",21,NA,40,21,39,40,28,"GR-L","l",NA,5.69999980926514,"none",NA,"slightly hard","friable",NA,"slightly sticky","moderately plastic",NA,"l","11328",NA,NA,NA,NA,NA,NA,NA,NA,"5YR",5,4,"#997259FF",0.6,0.447058823529412,0.349019607843137,NA,"#997259FF",0,15,8,0,0,0,0,0,5,0,0,0,0,0,0,23,28,0,0,0,0,0,0,0,0,0,0,0,0,0
"2888862","625815","11CKS022","Bt2","Bt2",32,72,"clear","smooth",26,NA,27,26,47,27,58,"CBV-L","l",NA,5.90000009536743,"none",NA,"slightly hard","friable",NA,"slightly sticky","moderately plastic",NA,"l","11329",NA,NA,NA,NA,NA,NA,NA,NA,"5YR",5,4,"#997259FF",0.6,0.447058823529412,0.349019607843137,NA,"#997259FF",0,8,50,0,0,0,0,0,0,0,0,0,0,0,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0
"2888863","625815","11CKS022","2Bt3","Bt2",72,86,"clear","wavy",26,NA,28,26,46,28,65,"PGRX-L","l",NA,5.90000009536743,"none",NA,"slightly hard","friable",NA,"slightly sticky","moderately plastic",NA,"l","11330",NA,NA,NA,NA,NA,NA,NA,NA,"5YR",5,4,"#997259FF",0.6,0.447058823529412,0.349019607843137,NA,"#997259FF",0,5,0,0,0,0,0,0,60,0,0,0,0,0,0,5,65,0,0,0,0,0,0,0,0,0,0,0,0,0
"2888864","625815","11CKS022","2Cr","Cr",86,96,NA,NA,NA,NA,NA,NA,NA,NA,0,"BR",NA,"br",NA,NA,NA,NA,NA,NA,NA,NA,NA,"br","11331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2888878","625821","11CKS028","A","A",0,4,"clear","smooth",10,NA,30,10,60,30,8,"SIL","sil",NA,5.19999980926514,NA,NA,"moderately hard","firm",NA,"nonsticky","slightly plastic",NA,"sil","11345","7.5YR",5,4,"#977354FF",0.592156862745098,0.450980392156863,0.329411764705882,NA,"7.5YR",4,2,"#715D4EFF",0.443137254901961,0.364705882352941,0.305882352941176,NA,"#715D4EFF",8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
