"pedon_key","stationTriplet","Site","stateCode","Network","Name","dcoCode","countyName","HUC","Elevation_ft","Latitude","Longitude","dataTimeZone","shefId","beginDate","endDate","upedonid","pedlabsampnum","State"
"18818","2002:MN:SCAN","2002","MN","SCAN","Crescent Lake #1","GC","Sherburne","070102030503",980,45.41667,-93.95,-6,"CSCM5","1993-10-01 00:00","2100-01-01 00:00","S1991MN141001","92P0195","Minnesota"
"30945","2107:NM:SCAN","2107","NM","SCAN","Crossroads","GC","Lea","120800010103",4055,33.53513,-103.242,-7,"CRDN5","2005-03-12 00:00","2100-01-01 00:00","S2004NM025001","04N0399","New Mexico"
"33156","2113:AL:SCAN","2113","AL","SCAN","Cullman-NAHRC","GC","Cullman","031601090104",799,34.19492,-86.79897,-6,"CNSA1","2006-05-16 00:00","2100-01-01 00:00","S2006AL043001","06N0791","Alabama"
"66112","432:UT:SNTL","432","UT","SNTL","Currant Creek","UT","Wasatch","140600040401",7915,40.35747,-111.08993,-8,"CUCU1","1978-10-01 00:00","2100-01-01 00:00","S10UT051001","11N0380","Utah"
"70961","2190:CA:SCAN","2190","CA","SCAN","Death Valley Jct","GC","Inyo","180902021504",2062,36.32502,-116.35132,-8,"DVJC1","2012-06-08 00:00","2100-01-01 00:00","S2012CA027001","13N97484","California"
"70962","2187:CA:SCAN","2187","CA","SCAN","Deep Springs","GC","Inyo","180902010102",5399,37.37222,-117.97383,-8,"DPSC1","2011-11-21 00:00","2100-01-01 00:00","S2012CA027002","13N97485","California"
"73394","1210:NV:SNTL","1210","NV","SNTL","Defiance Mines","UT","White Pine","160600081002",9302,39.08527,-114.89977,-8,"DEFN2","2011-12-22 00:00","2100-01-01 00:00","S2014NV033003","15N0486","Nevada"
"70986","2183:CA:SCAN","2183","CA","SCAN","Desert Center","GC","Riverside","181001004703",556,33.80208,-115.30505,-8,"ERTC1","2011-11-16 00:00","2100-01-01 00:00","S2012CA065002","13N97464","California"
"28817","2048:MO:SCAN","2048","MO","SCAN","Dexter","GC","Stoddard","080202040502",305,36.78333,-89.93333,-6,"DEXM7","2001-09-19 00:00","2100-01-01 00:00","S2002MO207001","02N0176","Missouri"
"40632","445:NV:SNTL","445","NV","SNTL","Disaster Peak","UT","Humboldt","160402010201",6260,41.96737,-118.18934,-8,"DSPN2","1980-10-01 00:00","2100-01-01 00:00","S09NV013001","09N1044","Nevada"
"70963","2191:CA:SCAN","2191","CA","SCAN","Doe Ridge","GC","Mono","180901020207",7340,37.63423,-118.82643,-8,"DOEC1","2012-06-10 00:00","2100-01-01 00:00","S2012CA051002","13N97486","California"
"40631","454:NV:SNTL","454","NV","SNTL","Draw Creek","UT","Elko","160401010403",7332,41.661,-115.3234,-8,"DRCN2","1983-10-01 00:00","2100-01-01 00:00","S2009NV007002","09N1043","Nevada"
"70318","455:UT:SNTL","455","UT","SNTL","Dry Bread Pond","UT","Cache","160102030101",8302,41.41289,-111.5377,-8,"DBPU1","1978-10-01 00:00","2100-01-01 00:00","S11UT005001","12N7844","Utah"
"70946","1243:NV:SNTL","1243","NV","SNTL","Dry Creek","UT","Elko","160401010601",6555,40.8638,-115.22014,-8,"DRKN2","2013-10-01 00:00","2100-01-01 00:00","S2013NV007902","14N0337","Nevada"
